,vocals,accompaniment,drums,bass,other,MIX
Aimee Norwich - Child (60),0,0,0,0,0,0
Aimee Norwich - Child (61),0,0,0,0,0,0
Aimee Norwich - Child (62),0,0,0,0,0,0
Alexander Ross - Goodbye Bolero (0),0,388,39,82,271,388
Alexander Ross - Goodbye Bolero (1),0,298,96,53,155,298
Alexander Ross - Goodbye Bolero (2),0,400,130,67,199,400
Alexander Ross - Goodbye Bolero (3),1,326,92,57,175,327
Alexander Ross - Goodbye Bolero (4),278,389,125,72,186,674
Alexander Ross - Goodbye Bolero (5),95,261,66,58,130,361
Alexander Ross - Goodbye Bolero (6),278,314,63,59,184,578
Alexander Ross - Goodbye Bolero (7),50,225,65,63,95,275
Alexander Ross - Goodbye Bolero (8),229,306,63,70,168,539
Alexander Ross - Goodbye Bolero (9),147,274,67,67,139,413
Alexander Ross - Goodbye Bolero (10),239,341,58,71,210,567
Alexander Ross - Goodbye Bolero (11),27,268,72,66,124,301
Alexander Ross - Goodbye Bolero (12),233,329,106,71,156,564
Alexander Ross - Goodbye Bolero (13),109,236,88,54,110,344
Alexander Ross - Goodbye Bolero (14),257,292,67,58,170,558
Alexander Ross - Goodbye Bolero (15),78,263,57,83,115,340
Alexander Ross - Goodbye Bolero (16),230,297,74,71,154,532
Alexander Ross - Goodbye Bolero (17),38,270,75,59,135,313
Alexander Ross - Goodbye Bolero (18),260,298,67,74,160,555
Alexander Ross - Goodbye Bolero (19),4,344,82,82,177,349
Alexander Ross - Goodbye Bolero (20),92,404,3,73,322,500
Alexander Ross - Goodbye Bolero (21),6,416,13,71,326,420
Alexander Ross - Goodbye Bolero (22),184,437,3,70,351,625
Alexander Ross - Goodbye Bolero (23),200,500,118,65,315,690
Alexander Ross - Goodbye Bolero (24),326,454,67,89,296,809
Alexander Ross - Goodbye Bolero (25),299,437,54,74,301,741
Alexander Ross - Goodbye Bolero (26),326,456,53,90,323,782
Alexander Ross - Goodbye Bolero (27),219,432,43,93,289,639
Alexander Ross - Goodbye Bolero (28),322,416,58,88,261,743
Alexander Ross - Goodbye Bolero (29),260,450,46,90,330,695
Alexander Ross - Goodbye Bolero (30),235,454,45,87,332,694
Alexander Ross - Goodbye Bolero (31),5,395,34,72,320,399
Alexander Ross - Goodbye Bolero (32),0,588,156,79,349,588
Alexander Ross - Goodbye Bolero (33),0,449,104,78,264,449
Alexander Ross - Goodbye Bolero (34),0,354,33,69,266,354
Alexander Ross - Goodbye Bolero (35),0,428,82,57,290,428
Alexander Ross - Goodbye Bolero (36),0,405,63,69,272,405
Alexander Ross - Goodbye Bolero (37),201,375,89,67,216,571
Alexander Ross - Goodbye Bolero (38),149,313,31,68,215,464
Alexander Ross - Goodbye Bolero (39),237,336,92,52,195,579
Alexander Ross - Goodbye Bolero (40),182,349,86,60,210,530
Alexander Ross - Goodbye Bolero (41),220,419,120,74,219,643
Alexander Ross - Goodbye Bolero (42),168,358,57,62,226,520
Alexander Ross - Goodbye Bolero (43),238,368,108,63,180,608
Alexander Ross - Goodbye Bolero (44),292,348,38,70,246,641
Alexander Ross - Goodbye Bolero (45),187,363,92,60,206,558
Alexander Ross - Goodbye Bolero (46),168,317,45,72,212,495
Alexander Ross - Goodbye Bolero (47),228,331,83,61,193,557
Alexander Ross - Goodbye Bolero (48),108,364,50,65,229,461
Alexander Ross - Goodbye Bolero (49),177,430,113,65,248,621
Alexander Ross - Goodbye Bolero (50),189,325,48,67,214,517
Alexander Ross - Goodbye Bolero (51),105,364,67,66,232,470
Alexander Ross - Goodbye Bolero (52),152,377,50,76,256,518
Alexander Ross - Goodbye Bolero (53),71,504,49,80,385,573
Alexander Ross - Goodbye Bolero (54),146,443,34,74,324,596
Alexander Ross - Goodbye Bolero (55),75,445,33,70,339,521
Alexander Ross - Goodbye Bolero (56),197,390,17,57,315,588
Alexander Ross - Goodbye Bolero (57),317,620,181,84,368,943
Alexander Ross - Goodbye Bolero (58),239,501,94,94,323,723
Alexander Ross - Goodbye Bolero (59),344,573,136,71,367,925
Alexander Ross - Goodbye Bolero (60),219,493,112,109,319,683
Alexander Ross - Goodbye Bolero (61),279,574,139,75,349,849
Alexander Ross - Goodbye Bolero (62),291,551,99,97,375,838
Alexander Ross - Goodbye Bolero (63),302,562,80,95,398,872
Alexander Ross - Goodbye Bolero (64),203,534,55,95,394,739
Alexander Ross - Goodbye Bolero (65),0,560,132,77,347,560
Alexander Ross - Goodbye Bolero (66),0,495,86,81,329,495
Alexander Ross - Goodbye Bolero (67),0,553,74,69,411,553
Alexander Ross - Goodbye Bolero (68),0,447,20,59,366,447
Alexander Ross - Goodbye Bolero (69),0,525,14,72,438,525
Alexander Ross - Goodbye Bolero (70),0,486,13,58,406,486
Alexander Ross - Goodbye Bolero (71),0,543,38,79,428,543
Alexander Ross - Goodbye Bolero (72),0,517,22,60,447,517
Alexander Ross - Goodbye Bolero (73),0,555,18,72,466,555
Alexander Ross - Goodbye Bolero (74),0,541,54,55,436,541
Alexander Ross - Goodbye Bolero (75),0,529,86,81,356,529
Alexander Ross - Goodbye Bolero (76),0,545,57,61,421,545
Alexander Ross - Goodbye Bolero (77),0,472,52,74,348,472
Alexander Ross - Goodbye Bolero (78),0,374,26,56,298,374
Alexander Ross - Goodbye Bolero (79),0,464,62,76,330,464
Alexander Ross - Goodbye Bolero (80),0,451,23,65,350,451
Alexander Ross - Goodbye Bolero (81),0,516,23,77,420,516
Alexander Ross - Goodbye Bolero (82),0,467,24,87,353,467
Alexander Ross - Goodbye Bolero (83),0,540,52,72,446,540
Alexander Ross - Goodbye Bolero (84),0,460,34,69,355,460
Alexander Ross - Goodbye Bolero (85),0,669,51,78,529,669
Alexander Ross - Goodbye Bolero (86),104,512,70,64,366,618
Alexander Ross - Goodbye Bolero (87),771,820,120,87,600,1588
Alexander Ross - Goodbye Bolero (88),495,766,45,86,607,1273
Alexander Ross - Goodbye Bolero (89),757,791,101,79,622,1559
Alexander Ross - Goodbye Bolero (90),608,688,74,94,521,1260
Alexander Ross - Goodbye Bolero (91),692,705,75,90,535,1395
Alexander Ross - Goodbye Bolero (92),669,683,108,104,491,1351
Alexander Ross - Goodbye Bolero (93),563,732,51,94,580,1255
Alexander Ross - Goodbye Bolero (94),571,690,93,97,502,1225
Alexander Ross - Goodbye Bolero (95),0,579,155,79,373,579
Alexander Ross - Goodbye Bolero (96),0,360,122,69,151,360
Alexander Ross - Goodbye Bolero (97),0,70,0,14,54,70
Alexander Ross - Goodbye Bolero (98),0,3,0,1,3,3
Alexander Ross - Goodbye Bolero (99),0,0,0,0,0,0
Alexander Ross - Goodbye Bolero (100),0,61,61,0,0,61
Alexander Ross - Goodbye Bolero (101),0,68,68,0,0,68
Alexander Ross - Goodbye Bolero (102),0,76,76,0,0,76
Alexander Ross - Goodbye Bolero (103),0,127,81,18,27,127
Alexander Ross - Goodbye Bolero (104),0,213,68,41,110,213
Alexander Ross - Goodbye Bolero (105),0,219,73,39,102,219
Alexander Ross - Goodbye Bolero (106),0,261,82,39,133,261
Alexander Ross - Goodbye Bolero (107),0,357,113,38,225,357
Alexander Ross - Goodbye Bolero (108),0,373,78,43,247,373
Alexander Ross - Goodbye Bolero (109),0,389,87,50,248,389
Alexander Ross - Goodbye Bolero (110),0,441,170,38,240,441
Alexander Ross - Goodbye Bolero (111),0,426,83,36,310,426
Alexander Ross - Goodbye Bolero (112),0,452,129,43,294,452
Alexander Ross - Goodbye Bolero (113),0,388,105,38,262,388
Alexander Ross - Goodbye Bolero (114),0,533,186,40,317,533
Alexander Ross - Goodbye Bolero (115),0,461,91,47,333,461
Alexander Ross - Goodbye Bolero (116),0,460,99,46,307,460
Alexander Ross - Goodbye Bolero (117),0,479,124,48,307,479
Alexander Ross - Goodbye Bolero (118),0,810,166,48,601,810
Alexander Ross - Goodbye Bolero (119),0,563,136,43,397,563
Alexander Ross - Goodbye Bolero (120),0,666,130,39,513,666
Alexander Ross - Goodbye Bolero (121),0,643,149,51,462,643
Alexander Ross - Goodbye Bolero (122),0,537,112,50,384,537
Alexander Ross - Goodbye Bolero (123),0,627,135,48,437,627
Alexander Ross - Goodbye Bolero (124),0,513,126,51,333,513
Alexander Ross - Goodbye Bolero (125),0,698,145,49,522,698
Alexander Ross - Goodbye Bolero (126),0,743,165,47,536,743
Alexander Ross - Goodbye Bolero (127),0,719,129,57,528,719
Alexander Ross - Goodbye Bolero (128),0,595,196,47,369,595
Alexander Ross - Goodbye Bolero (129),0,588,149,47,369,588
Alexander Ross - Goodbye Bolero (130),0,535,122,58,361,535
Alexander Ross - Goodbye Bolero (131),0,500,129,48,344,500
Alexander Ross - Goodbye Bolero (132),0,499,122,38,374,499
Alexander Ross - Goodbye Bolero (133),0,173,30,14,133,173
Alexander Ross - Goodbye Bolero (134),0,64,15,6,45,64
Alexander Ross - Goodbye Bolero (135),0,25,7,2,15,25
Alexander Ross - Goodbye Bolero (136),0,4,1,0,3,4
Alexander Ross - Goodbye Bolero (137),0,1,0,0,1,1
Alexander Ross - Goodbye Bolero (138),0,0,0,0,0,0
Alexander Ross - Goodbye Bolero (139),0,0,0,0,0,0
Alexander Ross - Velvet Curtain (0),0,10,0,0,10,10
Alexander Ross - Velvet Curtain (1),0,7,0,0,7,7
Alexander Ross - Velvet Curtain (2),0,9,0,0,9,9
Alexander Ross - Velvet Curtain (3),0,9,0,0,9,9
Alexander Ross - Velvet Curtain (4),34,5,0,0,5,39
Alexander Ross - Velvet Curtain (5),28,12,0,0,12,40
Alexander Ross - Velvet Curtain (6),19,9,0,0,9,29
Alexander Ross - Velvet Curtain (7),28,12,0,0,12,40
Alexander Ross - Velvet Curtain (8),48,12,0,0,12,61
Alexander Ross - Velvet Curtain (9),23,11,0,0,11,35
Alexander Ross - Velvet Curtain (10),14,7,0,0,7,21
Alexander Ross - Velvet Curtain (11),15,11,0,0,11,26
Alexander Ross - Velvet Curtain (12),36,9,0,0,9,44
Alexander Ross - Velvet Curtain (13),33,12,0,0,12,43
Alexander Ross - Velvet Curtain (14),14,11,0,0,11,25
Alexander Ross - Velvet Curtain (15),22,12,0,0,12,35
Alexander Ross - Velvet Curtain (16),46,12,0,0,12,58
Alexander Ross - Velvet Curtain (17),22,15,0,0,15,36
Alexander Ross - Velvet Curtain (18),32,11,0,0,11,44
Alexander Ross - Velvet Curtain (19),11,12,0,0,12,21
Alexander Ross - Velvet Curtain (20),45,10,0,0,10,54
Alexander Ross - Velvet Curtain (21),16,16,0,0,16,32
Alexander Ross - Velvet Curtain (22),29,9,0,0,9,37
Alexander Ross - Velvet Curtain (23),30,12,0,0,12,42
Alexander Ross - Velvet Curtain (24),43,21,0,0,21,65
Alexander Ross - Velvet Curtain (25),28,22,0,0,22,50
Alexander Ross - Velvet Curtain (26),30,15,0,0,15,45
Alexander Ross - Velvet Curtain (27),23,13,0,0,13,36
Alexander Ross - Velvet Curtain (28),31,17,0,0,17,49
Alexander Ross - Velvet Curtain (29),33,19,0,0,19,52
Alexander Ross - Velvet Curtain (30),21,15,0,0,15,35
Alexander Ross - Velvet Curtain (31),15,9,0,0,9,23
Alexander Ross - Velvet Curtain (32),18,8,1,0,7,25
Alexander Ross - Velvet Curtain (33),0,184,78,60,37,184
Alexander Ross - Velvet Curtain (34),0,142,70,39,32,142
Alexander Ross - Velvet Curtain (35),0,158,68,55,42,158
Alexander Ross - Velvet Curtain (36),0,111,36,31,44,111
Alexander Ross - Velvet Curtain (37),24,135,58,56,32,159
Alexander Ross - Velvet Curtain (38),37,127,40,47,38,163
Alexander Ross - Velvet Curtain (39),112,138,24,61,49,254
Alexander Ross - Velvet Curtain (40),12,119,19,54,44,130
Alexander Ross - Velvet Curtain (41),46,114,20,59,38,160
Alexander Ross - Velvet Curtain (42),57,110,9,53,52,168
Alexander Ross - Velvet Curtain (43),43,157,43,68,41,204
Alexander Ross - Velvet Curtain (44),0,152,48,63,40,152
Alexander Ross - Velvet Curtain (45),34,137,48,61,38,172
Alexander Ross - Velvet Curtain (46),65,114,29,49,37,177
Alexander Ross - Velvet Curtain (47),61,156,57,67,44,215
Alexander Ross - Velvet Curtain (48),3,128,31,53,43,130
Alexander Ross - Velvet Curtain (49),40,134,59,73,26,175
Alexander Ross - Velvet Curtain (50),52,101,25,48,29,152
Alexander Ross - Velvet Curtain (51),29,139,26,69,36,168
Alexander Ross - Velvet Curtain (52),0,111,22,41,48,111
Alexander Ross - Velvet Curtain (53),0,55,6,18,33,55
Alexander Ross - Velvet Curtain (54),0,40,6,22,13,40
Alexander Ross - Velvet Curtain (55),0,48,8,26,16,48
Alexander Ross - Velvet Curtain (56),0,43,5,25,15,43
Alexander Ross - Velvet Curtain (57),29,42,8,21,13,70
Alexander Ross - Velvet Curtain (58),23,38,9,15,14,61
Alexander Ross - Velvet Curtain (59),13,44,9,19,12,54
Alexander Ross - Velvet Curtain (60),16,45,7,19,19,61
Alexander Ross - Velvet Curtain (61),12,43,6,22,13,55
Alexander Ross - Velvet Curtain (62),18,34,7,17,11,53
Alexander Ross - Velvet Curtain (63),15,29,4,14,11,44
Alexander Ross - Velvet Curtain (64),16,37,4,18,12,53
Alexander Ross - Velvet Curtain (65),16,32,5,19,10,48
Alexander Ross - Velvet Curtain (66),37,26,3,11,13,63
Alexander Ross - Velvet Curtain (67),47,34,3,18,11,80
Alexander Ross - Velvet Curtain (68),35,35,1,16,19,69
Alexander Ross - Velvet Curtain (69),27,44,1,15,24,70
Alexander Ross - Velvet Curtain (70),25,43,1,14,29,67
Alexander Ross - Velvet Curtain (71),13,30,1,16,16,43
Alexander Ross - Velvet Curtain (72),14,36,0,20,16,50
Alexander Ross - Velvet Curtain (73),37,37,4,22,12,73
Alexander Ross - Velvet Curtain (74),22,34,2,19,11,56
Alexander Ross - Velvet Curtain (75),21,40,2,18,17,61
Alexander Ross - Velvet Curtain (76),4,59,9,31,19,63
Alexander Ross - Velvet Curtain (77),39,103,39,57,10,143
Alexander Ross - Velvet Curtain (78),23,96,19,57,21,119
Alexander Ross - Velvet Curtain (79),30,95,22,56,14,125
Alexander Ross - Velvet Curtain (80),41,93,34,48,13,133
Alexander Ross - Velvet Curtain (81),47,84,25,48,13,131
Alexander Ross - Velvet Curtain (82),24,107,34,53,18,131
Alexander Ross - Velvet Curtain (83),29,110,47,53,10,139
Alexander Ross - Velvet Curtain (84),33,84,23,48,13,117
Alexander Ross - Velvet Curtain (85),36,84,7,50,19,119
Alexander Ross - Velvet Curtain (86),38,95,9,54,27,133
Alexander Ross - Velvet Curtain (87),34,79,13,52,15,112
Alexander Ross - Velvet Curtain (88),29,78,4,58,16,108
Alexander Ross - Velvet Curtain (89),33,64,1,50,16,97
Alexander Ross - Velvet Curtain (90),2,267,89,81,77,269
Alexander Ross - Velvet Curtain (91),0,290,66,71,139,290
Alexander Ross - Velvet Curtain (92),0,273,86,60,146,273
Alexander Ross - Velvet Curtain (93),0,271,55,75,135,271
Alexander Ross - Velvet Curtain (94),26,258,88,73,117,281
Alexander Ross - Velvet Curtain (95),68,277,70,66,145,350
Alexander Ross - Velvet Curtain (96),151,287,84,74,124,437
Alexander Ross - Velvet Curtain (97),43,276,79,74,117,318
Alexander Ross - Velvet Curtain (98),54,299,111,72,125,351
Alexander Ross - Velvet Curtain (99),87,286,76,70,137,370
Alexander Ross - Velvet Curtain (100),67,252,71,78,132,317
Alexander Ross - Velvet Curtain (101),0,300,84,71,141,300
Alexander Ross - Velvet Curtain (102),35,328,119,78,122,359
Alexander Ross - Velvet Curtain (103),107,277,61,70,148,387
Alexander Ross - Velvet Curtain (104),76,312,68,78,149,389
Alexander Ross - Velvet Curtain (105),0,305,100,75,134,305
Alexander Ross - Velvet Curtain (106),51,293,104,74,137,345
Alexander Ross - Velvet Curtain (107),101,269,57,73,139,381
Alexander Ross - Velvet Curtain (108),56,246,64,88,108,295
Alexander Ross - Velvet Curtain (109),0,240,49,74,122,240
Alexander Ross - Velvet Curtain (110),0,137,3,56,79,137
Alexander Ross - Velvet Curtain (111),0,30,0,18,11,30
Alexander Ross - Velvet Curtain (112),0,6,0,0,6,6
Alexander Ross - Velvet Curtain (113),0,10,0,0,10,10
Alexander Ross - Velvet Curtain (114),0,11,0,0,11,11
Alexander Ross - Velvet Curtain (115),0,15,0,0,15,15
Alexander Ross - Velvet Curtain (116),0,13,0,0,13,13
Alexander Ross - Velvet Curtain (117),34,192,103,66,13,227
Alexander Ross - Velvet Curtain (118),98,207,126,81,11,305
Alexander Ross - Velvet Curtain (119),113,189,107,70,12,302
Alexander Ross - Velvet Curtain (120),238,218,126,97,23,456
Alexander Ross - Velvet Curtain (121),8,236,142,70,23,244
Alexander Ross - Velvet Curtain (122),53,224,122,82,20,279
Alexander Ross - Velvet Curtain (123),126,176,105,60,20,301
Alexander Ross - Velvet Curtain (124),119,181,88,79,20,301
Alexander Ross - Velvet Curtain (125),85,273,152,73,29,357
Alexander Ross - Velvet Curtain (126),0,181,84,73,24,181
Alexander Ross - Velvet Curtain (127),39,328,175,108,47,369
Alexander Ross - Velvet Curtain (128),228,268,138,70,63,492
Alexander Ross - Velvet Curtain (129),269,209,86,83,45,483
Alexander Ross - Velvet Curtain (130),196,372,235,86,60,569
Alexander Ross - Velvet Curtain (131),14,399,252,74,69,411
Alexander Ross - Velvet Curtain (132),123,398,235,86,70,517
Alexander Ross - Velvet Curtain (133),239,287,151,80,67,528
Alexander Ross - Velvet Curtain (134),197,295,122,73,81,488
Alexander Ross - Velvet Curtain (135),109,416,165,92,163,518
Alexander Ross - Velvet Curtain (136),28,742,505,80,160,772
Alexander Ross - Velvet Curtain (137),225,774,443,128,174,996
Alexander Ross - Velvet Curtain (138),204,490,192,133,150,691
Alexander Ross - Velvet Curtain (139),263,469,185,128,160,732
Alexander Ross - Velvet Curtain (140),313,427,129,116,172,738
Alexander Ross - Velvet Curtain (141),45,391,166,111,144,437
Alexander Ross - Velvet Curtain (142),256,521,256,90,157,776
Alexander Ross - Velvet Curtain (143),238,349,97,119,143,585
Alexander Ross - Velvet Curtain (144),294,614,167,115,317,906
Alexander Ross - Velvet Curtain (145),52,747,286,115,375,797
Alexander Ross - Velvet Curtain (146),23,938,496,105,304,957
Alexander Ross - Velvet Curtain (147),280,563,175,104,308,848
Alexander Ross - Velvet Curtain (148),311,626,198,85,316,940
Alexander Ross - Velvet Curtain (149),419,752,307,110,351,1174
Alexander Ross - Velvet Curtain (150),211,703,254,108,357,903
Alexander Ross - Velvet Curtain (151),190,715,258,135,337,902
Alexander Ross - Velvet Curtain (152),322,635,216,123,315,962
Alexander Ross - Velvet Curtain (153),278,549,139,130,309,815
Alexander Ross - Velvet Curtain (154),314,1032,376,135,490,1330
Alexander Ross - Velvet Curtain (155),145,1433,727,129,537,1580
Alexander Ross - Velvet Curtain (156),132,1098,519,103,502,1219
Alexander Ross - Velvet Curtain (157),163,1015,401,106,509,1176
Alexander Ross - Velvet Curtain (158),162,1061,324,130,582,1221
Alexander Ross - Velvet Curtain (159),189,1005,313,123,587,1194
Alexander Ross - Velvet Curtain (160),174,1015,328,125,580,1189
Alexander Ross - Velvet Curtain (161),185,897,309,117,524,1078
Alexander Ross - Velvet Curtain (162),143,944,288,140,480,1084
Alexander Ross - Velvet Curtain (163),107,637,110,93,420,743
Alexander Ross - Velvet Curtain (164),106,235,1,16,219,337
Alexander Ross - Velvet Curtain (165),0,11,0,0,10,11
Alexander Ross - Velvet Curtain (166),0,5,0,0,5,5
Alexander Ross - Velvet Curtain (167),0,2,0,0,2,2
Alexander Ross - Velvet Curtain (168),0,2,0,0,2,2
Alexander Ross - Velvet Curtain (169),0,6,0,0,6,6
Alexander Ross - Velvet Curtain (170),0,0,0,0,0,0
Alexander Ross - Velvet Curtain (171),0,0,0,0,0,0
Alexander Ross - Velvet Curtain (172),0,0,0,0,0,0
Angela Thomas Wade - Milk Cow Blues (0),0,187,63,40,81,187
Angela Thomas Wade - Milk Cow Blues (1),0,372,129,88,159,372
Angela Thomas Wade - Milk Cow Blues (2),0,473,120,128,225,473
Angela Thomas Wade - Milk Cow Blues (3),0,599,162,89,343,599
Angela Thomas Wade - Milk Cow Blues (4),0,511,126,103,297,511
Angela Thomas Wade - Milk Cow Blues (5),0,414,136,88,202,414
Angela Thomas Wade - Milk Cow Blues (6),0,398,139,119,134,398
Angela Thomas Wade - Milk Cow Blues (7),0,439,96,101,248,439
Angela Thomas Wade - Milk Cow Blues (8),0,529,178,109,216,529
Angela Thomas Wade - Milk Cow Blues (9),0,462,154,102,212,462
Angela Thomas Wade - Milk Cow Blues (10),111,350,148,104,105,465
Angela Thomas Wade - Milk Cow Blues (11),112,344,103,96,141,455
Angela Thomas Wade - Milk Cow Blues (12),182,377,141,95,154,555
Angela Thomas Wade - Milk Cow Blues (13),179,465,144,92,205,634
Angela Thomas Wade - Milk Cow Blues (14),133,426,137,93,185,561
